#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-30T19:26:32 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-30T19:26:32	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-out.src=VII/257/2mig&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/257/2mig&-out=2MIG&-out=2M&-out=RAJ2000&-out=DEJ2000&-out=Name&-out=r&-out=Ksmag&-out=2s&-out=HRV&-out=T&-out=N&-out=Comm&-out=NED&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7257
#Name: VII/257
#Title: 2MASS-selected Isolated Galaxies (2MIG) (Karachentseva+, 2010)
#INFO	ivoid=ivo://cds.vizier/vii/257	    IVOID of underlying data collection
#INFO	creator=Karachentseva V.E.	    First author or institution
#INFO	cites=bibcode:2010AstBu..65....1K	    Article or Data origin sources
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/257	    Dataset landing page
#INFO	publication_date=2018-01-02	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_257_2mig:
#Name: VII/257/2mig
#Title: 2MASS-selected Isolated Galaxies Catalog (2MIG)
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	2MIG	(I4)	Galaxy number	[ucd=meta.id;meta.main]
#Column	2M	(A2)	Display the 2MASSX data (Cat. VII/233)	[ucd=meta.ref.url]
#Column	RAJ2000	(A11)	Right Ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Name	(a16)	Galaxy name in the known catalogs	[ucd=meta.id]
#Column	r	(F5.1)	K-band fiducial elliptical Kron radius	[ucd=phys.angSize;em.IR.K]
#Column	Ksmag	(F5.2)	Ks-band fiducial elliptical Kron magnitude	[ucd=phot.mag;em.IR.K]
#Column	2s	(I3)	Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	[ucd=pos.angDistance]
#Column	HRV	(I5)	? Heliocentric radial velocity taken from LEDA or NED databases	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	T	(I2)	Morphological type in de Vaucouleurs' scale (T=-2 is any elliptical galaxies)	[ucd=src.morph.type]
#Column	N	(I1)	? Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS (1)	[ucd=meta.number]
#Column	Comm	(a34)	? Comments (2)	[ucd=meta.note]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
_RAJ2000	_DEJ2000	2MIG	2M	RAJ2000	DEJ2000	Name	r	Ksmag	2s	HRV	T	N	Comm	NED
096.8220417	+18.8097778	 841	2M	06 27 17.29	+18 48 35.2	UGC03468        	 20.8	11.94	 84	 2485	 8	 	IRAS                              	NED
097.1053333	-49.3427500	 842	2M	06 28 25.28	-49 20 33.9	ESO206-013      	 16.9	11.37	 62	     	 3	 	                                  	NED
097.1923333	 +1.8221389	 843	2M	06 28 46.16	+01 49 19.7	PGC136585       	 22.0	10.59	 75	     	 3	 	                                  	NED
097.2155833	-44.6664167	 844	2M	06 28 51.74	-44 39 59.1	ESO255-011      	 26.7	10.87	102	 8550	 1	 	Ring,IRAS                         	NED
097.2715833	+15.1990833	 845	2M	06 29 05.18	+15 11 56.7	PGC1477960      	 15.9	11.65	 96	     	 1	 	                                  	NED
097.3107500	+33.2658333	 846	2M	06 29 14.58	+33 15 57.0	2MASX           	 16.6	11.12	 91	     	 0	 	                                  	NED
097.3181667	+43.9842778	 847	2M	06 29 16.36	+43 59 03.4	PGC2233814      	 15.3	11.72	 88	     	 5	 	                                  	NED
097.3935000	-71.1049722	 848	2M	06 29 34.44	-71 06 17.9	ESO058-001      	 25.6	10.50	 77	 5266	 2	1	                                  	NED
097.7438750	-29.5051944	 849	2M	06 30 58.53	-29 30 18.7	2MASX           	 15.2	11.87	 67	16457	 0	 	                                  	NED
097.7750417	+84.9255000	 850	2M	06 31 06.01	+84 55 31.8	UGC03442        	 34.3	10.17	 72	 5596	 1	 	                                  	NED
097.7906667	-19.1706944	 851	2M	06 31 09.76	-19 10 14.5	2MFGC5221       	 18.8	11.82	 63	11335	 5	 	HII                               	NED
097.8415833	+50.0937778	 852	2M	06 31 21.98	+50 05 37.6	UGC03477        	 26.2	11.21	 87	 6496	 6	 	                                  	NED
097.9221250	-58.9450833	 853	2M	06 31 41.31	-58 56 42.3	ESO121-035      	 25.9	10.99	102	 9524	 3	 	IRAS                              	NED
097.9714167	-20.1664444	 854	2M	06 31 53.14	-20 09 59.2	ESO557-003      	 37.8	10.01	 79	 7715	 1	 	Pec,HII,IRAS                      	NED
098.0087500	+33.1105278	 855	2M	06 32 02.10	+33 06 37.9	CGCG175-004     	 23.9	10.89	 60	 5430	 2	 	Bar,ring,pec                      	NED
098.1566667	+71.5609444	 856	2M	06 32 37.60	+71 33 39.4	UGC03474        	 59.5	10.22	 80	 3623	 6	 	KIG171,IRAS                       	NED
098.2596250	+75.8675556	 857	2M	06 33 02.31	+75 52 03.2	UGC03472        	 28.3	10.31	 60	 5203	 0	 	KIG170,IRAS                       	NED
098.3048333	-28.0270833	 858	2M	06 33 13.16	-28 01 37.5	ESO426-022      	 19.1	11.09	 62	11237	 2	1	Bar,ring,HII                      	NED
098.3828750	+50.4861667	 859	2M	06 33 31.89	+50 29 10.2	PGC2374412      	 16.8	11.49	 63	     	 0	3	                                  	NED
098.3895833	+21.0370833	 860	2M	06 33 33.50	+21 02 13.5	UGC03489        	 37.3	10.33	 67	 5456	 4	 	IRAS                              	NED
098.5688333	 +7.9744444	 861	2M	06 34 16.52	+07 58 28.0	2MASX           	 29.9	11.29	 77	     	 5	 	                                  	NED
098.7016667	 -9.7010556	 862	2M	06 34 48.40	-09 42 03.8	PGC75858        	 19.2	10.91	 61	     	 2	 	                                  	NED
098.7475417	 +6.8884444	 863	2M	06 34 59.41	+06 53 18.4	PGC19278        	 44.9	 9.26	102	 3627	 0	 	                                  	NED
098.7601250	-19.4635278	 864	2M	06 35 02.43	-19 27 48.7	ESO557-005      	 29.5	10.85	 91	11126	 5	 	                                  	NED
098.8620000	+48.8440833	 865	2M	06 35 26.88	+48 50 38.7	UGC03493        	 36.8	 9.81	151	 5900	 2	 	                                  	NED
099.0341667	+39.4144722	 866	2M	06 36 08.20	+39 24 52.1	CGCG204-006     	 21.4	11.05	 87	 6985	 5	 	                                  	NED
099.1422917	-33.3475556	 867	2M	06 36 34.15	-33 20 51.2	PGC148959       	 18.0	11.85	 68	11273	 2	1	Pec,HII,IRAS                      	NED
099.2298333	+20.5998333	 868	2M	06 36 55.16	+20 35 59.4	PGC3441847      	 21.9	11.77	 87	     	 4	 	                                  	NED
099.4160000	-13.1324444	 869	2M	06 37 39.84	-13 07 56.8	PGC75899        	 16.5	11.73	 66	     	 4	 	                                  	NED
099.4582500	+62.1118889	 870	2M	06 37 49.98	+62 06 42.8	PGC2630765      	 15.8	11.72	 68	     	 1	 	                                  	NED
099.5337083	-11.6270278	 871	2M	06 38 08.09	-11 37 37.3	PGC75908        	 22.2	11.11	103	 9975	 5	 	IRAS                              	NED
099.7851250	 +2.3413611	 872	2M	06 39 08.43	+02 20 28.9	2MASX           	 18.7	11.31	103	     	-2	 	                                  	NED
099.8130417	+76.8039444	 873	2M	06 39 15.13	+76 48 14.2	UGC03495        	 27.9	10.79	 70	     	 2	 	                                  	NED
100.2676667	+25.3691389	 874	2M	06 41 04.24	+25 22 08.9	CGCG115-007     	 16.3	11.46	101	 9543	 3	 	                                  	NED
100.3570833	+45.6191944	 875	2M	06 41 25.70	+45 37 09.1	FGC580          	 20.7	11.86	 69	 6230	 5	 	IRAS                              	NED
100.4456667	-54.7309444	 876	2M	06 41 46.96	-54 43 51.4	2MASX           	 17.2	11.39	 82	10066	 1	2	                                  	NED
100.9242083	+65.2062500	 877	2M	06 43 41.81	+65 12 22.5	NGC2253         	 33.2	 9.60	 60	 3566	 5	1	IRAS                              	NED
100.9270000	+28.4545833	 878	2M	06 43 42.48	+28 27 16.5	UGC03518        	 25.0	10.78	 84	 4960	 0	1	                                  	NED
100.9487500	-51.4887778	 879	2M	06 43 47.70	-51 29 19.6	ESO206-022      	 19.9	11.59	 62	10114	 3	 	IRAS                              	NED
101.0024167	+12.4018611	 880	2M	06 44 00.58	+12 24 06.7	UGC03524        	 34.2	10.01	 90	 3925	 4	 	IRAS                              	NED
101.0564167	+16.4826944	 881	2M	06 44 13.54	+16 28 57.7	PGC1509836      	 21.3	11.46	 79	     	 5	 	                                  	NED
101.1168333	+10.1504722	 882	2M	06 44 28.04	+10 09 01.7	PGC136504       	 15.1	11.83	 68	     	 5	 	                                  	NED
101.2868333	 +9.7807222	 883	2M	06 45 08.84	+09 46 50.6	2MFGC5394       	 15.7	12.00	 62	     	 4	 	                                  	NED
101.3982083	+53.4539167	 884	2M	06 45 35.57	+53 27 14.1	UGC03526        	 33.6	11.06	 80	     	 3	 	                                  	NED
101.7248333	+46.4064444	 885	2M	06 46 53.96	+46 24 23.2	CGCG234-009     	 18.7	11.06	 60	10795	 4	 	                                  	NED
101.7890417	+10.9573889	 886	2M	06 47 09.37	+10 57 26.6	PGC136497       	 23.2	10.87	114	     	-2	 	                                  	NED
101.9846250	-60.6414444	 887	2M	06 47 56.31	-60 38 29.2	2MASX           	 23.0	11.16	 72	 6464	 5	 	Pec                               	NED
101.9970833	-57.8152222	 888	2M	06 47 59.30	-57 48 54.8	ESO122-006      	 22.1	11.01	 67	10300	 2	1	IRAS                              	NED
102.0247917	+87.5599444	 889	2M	06 48 05.95	+87 33 35.8	MCG+15-01-004   	 23.3	11.76	 66	     	 5	 	                                  	NED
102.0801667	-61.8232778	 890	2M	06 48 19.24	-61 49 23.8	PGC352072       	 16.1	11.40	 62	 8994	 0	 	                                  	NED
102.1005417	-29.6322500	 891	2M	06 48 24.13	-29 37 56.1	2MASX           	 21.6	10.94	 86	11582	 0	 	                                  	NED
102.2252083	+66.2613333	 892	2M	06 48 54.05	+66 15 40.8	UGC03539        	 29.4	10.85	 63	 3308	 4	1	IRAS                              	NED
102.3907500	+44.4312222	 893	2M	06 49 33.78	+44 25 52.4	CGCG204-20      	 20.4	10.84	 76	 6415	 2	 	IRAS                              	NED
102.5441667	-11.2535833	 894	2M	06 50 10.60	-11 15 12.9	PGC85933        	 24.5	 9.92	 75	 2728	-2	 	IRAS                              	NED
102.6289167	-19.9907500	 895	2M	06 50 30.94	-19 59 26.7	PGC86000        	 16.2	11.33	 66	 7666	 4	 	IRAS                              	NED
102.7735833	+39.6759722	 896	2M	06 51 05.66	+39 40 33.5	CGCG204-022     	 19.1	10.80	 66	 9143	 0	 	                                  	NED
102.7959583	-30.4175000	 897	2M	06 51 11.03	-30 25 03.0	ESO427-013      	 17.3	11.41	146	 7382	 6	 	IRAS                              	NED
102.9914583	+16.2946389	 898	2M	06 51 57.95	+16 17 40.7	CGCG085-009     	 17.9	10.87	 73	 2683	 0	 	                                  	NED
103.1129583	-40.3411667	 899	2M	06 52 27.11	-40 20 28.2	PGC587516       	 15.9	11.65	 68	     	 1	3	                                  	NED
103.2389167	-17.5470000	 900	2M	06 52 57.34	-17 32 49.2	PGC76190        	 15.6	11.77	 84	 6211	 5	 	                                  	NED
103.4175417	+54.9737778	 901	2M	06 53 40.21	+54 58 25.6	CGCG261-008     	 16.7	11.04	 78	10868	-2	 	KIG174                            	NED
103.4395417	+11.3767500	 902	2M	06 53 45.49	+11 22 36.3	2MASX           	 18.3	11.74	 76	     	 2	 	                                  	NED
103.4747917	-40.8625833	 903	2M	06 53 53.95	-40 51 45.3	NGC2310         	 91.5	 8.57	254	 1167	 0	 	                                  	NED
103.4782500	-32.4799167	 904	2M	06 53 54.78	-32 28 47.7	ESO427-017      	 18.9	11.96	 74	13457	 6	 	                                  	NED
103.5826667	-12.1397778	 905	2M	06 54 19.84	-12 08 23.2	PGC76236        	 16.9	11.13	 81	     	-2	 	                                  	NED
103.6315000	+30.0710000	 906	2M	06 54 31.56	+30 04 15.6	UGC03590        	 17.0	11.84	 70	 5223	 2	 	                                  	NED
103.6367917	-51.1592500	 907	2M	06 54 32.83	-51 09 33.3	PGC459164       	 16.6	11.86	 65	13702	 1	 	                                  	NED
103.8071667	+40.3382500	 908	2M	06 55 13.72	+40 20 17.7	UGC03592        	 24.9	10.95	 75	13160	 1	 	Bar,ring,IRAS                     	NED
103.8459583	-17.2335278	 909	2M	06 55 23.03	-17 14 00.7	PGC76263        	 15.0	11.57	 65	     	-2	 	                                  	NED
103.8612500	 -4.1859722	 910	2M	06 55 26.70	-04 11 09.5	PGC76267        	 20.4	11.46	 64	     	-2	 	                                  	NED
103.9657500	+13.9060000	 911	2M	06 55 51.78	+13 54 21.6	UGC03605        	 29.0	11.41	 75	 7974	 6	 	                                  	NED
103.9883333	-36.9381111	 912	2M	06 55 57.20	-36 56 17.2	ESO366-028      	 21.3	10.86	 68	 9492	 5	1	Pec,HII,IRAS                      	NED
104.0498750	-49.3305278	 913	2M	06 56 11.97	-49 19 49.9	PGC478026       	 15.7	11.56	 69	12293	 1	2	                                  	NED
104.1460417	-19.3426389	 914	2M	06 56 35.05	-19 20 33.5	ESO558-003      	 20.9	10.60	 78	     	 3	 	                                  	NED
104.2896667	+12.2903889	 915	2M	06 57 09.52	+12 17 25.4	PGC1406902      	 21.3	11.43	 69	     	 2	 	                                  	NED
104.2988333	+20.4374444	 916	2M	06 57 11.72	+20 26 14.8	UGC03611        	 23.8	10.57	 71	 4992	 0	 	IRAS                              	NED
104.4152500	+39.0873056	 917	2M	06 57 39.66	+39 05 14.3	UGC03612        	 23.2	10.84	103	 5162	 3	 	Bar,IRAS                          	NED
104.6151667	+34.2116667	 918	2M	06 58 27.64	+34 12 42.0	UGC03619        	 17.9	11.85	 68	10956	 3	 	Bar,ring                          	NED
104.8389167	-25.8996944	 919	2M	06 59 21.34	-25 53 58.9	ESO491-013      	 40.2	10.14	 69	 2680	 1	 	Ring                              	NED
104.9200000	-17.4506944	 920	2M	06 59 40.80	-17 27 02.5	PGC85936        	 24.1	11.46	 68	 6025	 5	 	IRAS                              	NED
104.9584167	+35.4580278	 921	2M	06 59 50.02	+35 27 28.9	UGC03623        	 21.7	11.29	 64	 8344	 5	 	                                  	NED
105.0479167	 +9.3660833	 922	2M	07 00 11.50	+09 21 57.9	PGC1364065      	 15.3	11.39	121	     	-2	 	                                  	NED
105.0730000	-30.1638056	 923	2M	07 00 17.52	-30 09 49.7	IC0456          	 48.6	 8.93	 65	 1727	 0	 	Bar                               	NED
105.1773333	-27.3686389	 924	2M	07 00 42.56	-27 22 07.1	ESO491-015      	 54.5	 9.80	 61	 2679	 5	 	Bar,HII,IRAS                      	NED
105.1795417	-21.2467500	 925	2M	07 00 43.09	-21 14 48.3	ESO558-005      	 28.2	10.40	 97	 8953	 2	 	Bar,ring,IRAS                     	NED
105.2636667	 +1.9112778	 926	2M	07 01 03.28	+01 54 40.6	UGC03630        	 54.7	 8.72	120	 1771	 3	 	Bar,ring,IRAS                     	NED
105.5638750	 -3.2296389	 927	2M	07 02 15.33	-03 13 46.7	PGC76414        	 22.0	11.63	 77	     	 5	 	                                  	NED
105.7249583	+10.6103611	 928	2M	07 02 53.99	+10 36 37.3	PGC143087       	 17.4	11.43	 91	10477	 2	 	                                  	NED
105.9632500	+22.3695278	 929	2M	07 03 51.18	+22 22 10.3	UGC03652        	 39.3	10.36	 75	 4555	 5	 	IRAS                              	NED
105.9841250	 -2.2444167	 930	2M	07 03 56.19	-02 14 39.9	PGC76460        	 24.7	10.93	 93	     	 4	 	                                  	NED
106.0766667	+23.9017222	 931	2M	07 04 18.40	+23 54 06.2	CGCG116-015     	 27.1	 9.85	 86	 4521	-2	 	                                  	NED
106.2825417	-59.0222222	 932	2M	07 05 07.81	-59 01 20.0	PGC2816565      	 15.9	11.18	 65	 8206	 0	 	IRAS                              	NED
106.3087917	+12.7153333	 933	2M	07 05 14.11	+12 42 55.2	PGC143091       	 15.6	11.51	 94	13274	 1	 	                                  	NED
106.3475833	 +6.9203056	 934	2M	07 05 23.42	+06 55 13.1	2MASX           	 18.5	11.74	 86	     	 3	 	                                  	NED
106.7907917	-46.7249167	 935	2M	07 07 09.79	-46 43 29.7	PGC511491       	 16.1	11.57	 69	 9353	-2	1	                                  	NED
106.8097083	-26.6225833	 936	2M	07 07 14.33	-26 37 21.3	PGC76559        	 27.8	10.07	100	     	-2	 	                                  	NED
106.8133750	-17.9910833	 937	2M	07 07 15.21	-17 59 27.9	PGC76560        	 16.2	11.45	 74	     	 2	 	Bar                               	NED
107.0042500	+31.6633056	 938	2M	07 08 01.02	+31 39 47.9	PGC093085       	 22.1	10.81	 65	 4085	-2	 	                                  	NED
107.0622083	-30.2346111	 939	2M	07 08 14.93	-30 14 04.6	PGC76585        	 17.7	11.23	 73	     	 0	1	                                  	NED
107.2614583	 +6.9286667	 940	2M	07 09 02.75	+06 55 43.2	UGC03707        	 18.8	11.42	 63	 5969	 2	 	IRAS                              	NED
107.3534167	+39.1033889	 941	2M	07 09 24.82	+39 06 12.2	CGCG205-021     	 21.2	11.38	 75	 6956	 4	 	IRAS                              	NED
107.3941250	 -5.4278889	 942	2M	07 09 34.59	-05 25 40.4	PGC20274        	 39.4	10.10	 69	 1708	 8	 	Bar,IRAS                          	NED
107.4120417	-65.7775278	 943	2M	07 09 38.89	-65 46 39.1	PGC310269       	 18.6	11.47	 75	 6922	 1	 	IRAS                              	NED
108.1195833	+47.1667778	 944	2M	07 12 28.70	+47 10 00.4	NGC2344         	 40.0	 9.47	 80	  969	 3	 	Bar,KIG180                        	NED
108.1733750	+14.4300833	 945	2M	07 12 41.61	+14 25 48.3	PGC1457893      	 18.9	11.07	 87	     	 3	 	                                  	NED
108.1808333	-23.0790556	 946	2M	07 12 43.40	-23 04 44.6	PGC76734        	 20.0	10.84	 70	     	-2	 	                                  	NED
108.2024583	 -9.3062778	 947	2M	07 12 48.59	-09 18 22.6	PGC85948        	 17.2	11.88	117	 2444	 8	 	IRAS                              	NED
108.3508750	-68.3587778	 948	2M	07 13 24.21	-68 21 31.6	ESO058-025      	 41.2	10.70	 64	 7229	 3	 	IRAS                              	NED
108.4020833	+17.3055833	 949	2M	07 13 36.50	+17 18 20.1	2MASX           	 15.7	11.71	 64	     	 2	 	                                  	NED
108.4320000	 +0.5786667	 950	2M	07 13 43.68	+00 34 43.2	PGC1169692      	 17.7	11.62	 61	     	 1	 	                                  	NED
108.5104583	+23.9918333	 951	2M	07 14 02.51	+23 59 30.6	PGC1697571      	 17.3	11.42	 60	     	 1	 	                                  	NED
108.6586250	-10.0579167	 952	2M	07 14 38.07	-10 03 28.5	PGC76827        	 17.4	11.50	 88	     	-2	 	                                  	NED
108.7097917	+16.9815556	 953	2M	07 14 50.35	+16 58 53.6	UGC03766        	 24.8	10.84	 61	 4910	 6	 	IRAS                              	NED
108.9548333	+17.4846944	 954	2M	07 15 49.16	+17 29 04.9	CGCG086-012     	 25.6	10.49	 81	     	-2	 	                                  	NED
109.0386250	-19.8409167	 955	2M	07 16 09.27	-19 50 27.3	PGC76899        	 20.6	11.00	 74	     	 3	 	                                  	NED
109.0646250	 -0.4978889	 956	2M	07 16 15.51	-00 29 52.4	PGC76904        	 22.0	11.53	110	     	 3	 	                                  	NED
109.2199167	+67.1111944	 957	2M	07 16 52.78	+67 06 40.3	UGC03764        	 25.1	11.12	 62	 4124	 5	 	Bar,KIG181,IRAS                   	NED
109.3991250	+10.6450556	 958	2M	07 17 35.79	+10 38 42.2	PGC1382460      	 24.1	11.22	 64	     	 2	 	                                  	NED
109.4207500	+23.3567222	 959	2M	07 17 40.98	+23 21 24.2	NGC2357         	 62.5	 9.76	 71	 2271	 5	 	IRAS                              	NED
109.6325833	+27.1579722	 960	2M	07 18 31.82	+27 09 28.7	UGC03791        	 29.4	11.50	 79	 5079	 6	 	KIG183,IRAS                       	NED
109.6361250	-65.7984444	 961	2M	07 18 32.67	-65 47 54.4	ESO088-009      	 28.8	11.10	 71	 7105	 3	2	IRAS                              	NED
109.8275833	+51.2924444	 962	2M	07 19 18.62	+51 17 32.8	UGC03792        	 35.1	 9.56	 63	 6178	 0	1	                                  	NED
109.8768750	 -9.1565833	 963	2M	07 19 30.45	-09 09 23.7	2MASX           	 37.7	 9.70	107	     	 1	 	                                  	NED
109.9555000	+49.8621389	 964	2M	07 19 49.32	+49 51 43.7	CGCG235-006     	 16.4	11.27	 66	 5861	-2	 	KIG184                            	NED
110.2459167	-33.3616944	 965	2M	07 20 59.02	-33 21 42.1	PGC3098647      	 17.8	11.39	 78	     	 2	1	                                  	NED
110.3400417	 -7.1565000	 966	2M	07 21 21.61	-07 09 23.4	PGC77080        	 15.9	11.88	 71	     	 2	 	                                  	NED
110.3870833	+15.2453333	 967	2M	07 21 32.90	+15 14 43.2	CGCG086-015     	 17.0	11.00	 73	     	 1	1	                                  	NED
110.7977917	+35.2965556	 968	2M	07 23 11.47	+35 17 47.6	PGC2062353      	 16.0	11.85	 72	     	 1	3	                                  	NED
110.8167917	+32.4953333	 969	2M	07 23 16.03	+32 29 43.2	IC2185          	 17.9	11.31	 72	 4734	 4	1	Pec,ARK129,IRAS                   	NED
110.8524167	-34.3453056	 970	2M	07 23 24.58	-34 20 43.1	PGC663578       	 23.9	11.88	 68	     	 6	 	                                  	NED
110.9653333	-10.8913056	 971	2M	07 23 51.68	-10 53 28.7	PGC77163        	 19.7	11.03	 94	     	 0	 	                                  	NED
110.9725833	 -3.4803056	 972	2M	07 23 53.42	-03 28 49.1	PGC85957        	 21.8	11.35	 63	10817	 3	 	Bar,IRAS                          	NED
110.9780833	-27.5290556	 973	2M	07 23 54.74	-27 31 44.6	NGC2380         	 71.5	 7.60	 71	 1782	 0	 	Bar                               	NED
111.1111667	-51.8876667	 974	2M	07 24 26.68	-51 53 15.6	PGC451443       	 18.1	11.58	 62	19705	 4	 	                                  	NED
111.2020833	-66.3243333	 975	2M	07 24 48.50	-66 19 27.6	ESO088-012      	 29.5	11.69	 61	 1287	 6	 	                                  	NED
111.2367083	 -9.6593333	 976	2M	07 24 56.81	-09 39 33.6	NGC2377         	 48.3	 9.12	 87	 2456	 5	 	IRAS                              	NED
111.2569167	+23.7832500	 977	2M	07 25 01.66	+23 46 59.7	NGC2370         	 32.8	10.02	 65	 5500	 3	 	Bar,IRAS                          	NED
111.2786667	-63.5340556	 978	2M	07 25 06.88	-63 32 02.6	ESO088-013      	 19.9	11.48	 78	10542	 2	1	                                  	NED
111.2894167	 +3.2413056	 979	2M	07 25 09.46	+03 14 28.7	CGCG029-026     	 20.5	11.67	 65	     	 5	1	                                  	NED
111.2931250	 +9.5157778	 980	2M	07 25 10.35	+09 30 56.8	UGC03839        	 25.8	11.33	 64	 5269	 3	 	Bar                               	NED
111.4390000	-17.8814167	 981	2M	07 25 45.36	-17 52 53.1	PGC85961        	 24.4	10.49	 60	 2755	 5	 	IRAS                              	NED
111.4437500	-34.4451667	 982	2M	07 25 46.50	-34 26 42.6	PGC662229       	 16.0	11.10	 62	     	-2	 	                                  	NED
111.6009583	-46.3492778	 983	2M	07 26 24.23	-46 20 57.4	ESO257-015      	 21.4	11.61	 79	 9094	 3	 	Bar,ring,AGN                      	NED
111.6475833	+43.2964444	 984	2M	07 26 35.42	+43 17 47.2	UGC03844        	 34.7	 9.86	120	 3136	-2	 	KIG189                            	NED
111.6496250	+23.0729167	 985	2M	07 26 35.91	+23 04 22.5	NGC2376         	 15.8	11.74	 70	 5407	 8	1	IRAS                              	NED
111.8076667	+48.2947222	 986	2M	07 27 13.84	+48 17 41.0	CGCG235-017     	 19.1	11.85	 73	 6042	 6	2	                                  	NED
112.0541250	+58.5067222	 987	2M	07 28 12.99	+58 30 24.2	UGC03855        	 51.4	 9.28	 64	 3162	 2	 	                                  	NED
112.1925833	-74.6031667	 988	2M	07 28 46.22	-74 36 11.4	ESO035-008      	 30.6	11.10	114	 6205	 4	1	                                  	NED
112.6108750	-49.1155556	 989	2M	07 30 26.61	-49 06 56.0	PGC480314       	 15.6	11.61	 86	12020	-2	 	                                  	NED
112.6130417	-53.0313889	 990	2M	07 30 27.13	-53 01 53.0	PGC21171        	 25.3	10.77	 87	11438	 0	1	                                  	NED
112.6889583	-28.3995833	 991	2M	07 30 45.35	-28 23 58.5	PGC77473        	 37.1	10.80	 88	 8078	 2	 	                                  	NED
113.0985417	 -5.8122778	 992	2M	07 32 23.65	-05 48 44.2	PGC77587        	 19.9	11.73	107	11063	 5	 	                                  	NED
113.1144583	+10.9045556	 993	2M	07 32 27.47	+10 54 16.4	UGC03900        	 19.3	11.39	 81	 8535	 4	 	Bar                               	NED
113.1758333	-13.9009722	 994	2M	07 32 42.20	-13 54 03.5	2MFGC5980       	 34.3	10.00	 66	 4243	 4	 	IRAS                              	NED
113.3779167	-65.3946111	 995	2M	07 33 30.70	-65 23 40.6	ESO088-021      	 21.1	10.78	 89	 6489	 2	 	IRAS                              	NED
113.4110417	+24.7293333	 996	2M	07 33 38.65	+24 43 45.6	PGC3097171      	 17.6	11.57	111	 5643	 3	 	                                  	NED
249.1371250	-37.4431389	2276	2M	16 36 32.91	-37 26 35.3	2MASX           	 17.7	11.57	116	     	 4	 	                                  	NED
113.6955417	-32.3998611	 997	2M	07 34 46.93	-32 23 59.5	PGC77679        	 23.7	11.12	 77	     	 1	 	                                  	NED
113.7051250	-24.0751667	 998	2M	07 34 49.23	-24 04 30.6	2MFGC5998       	 27.8	11.49	 60	     	 5	 	                                  	NED
113.8775000	 +2.2626667	 999	2M	07 35 30.60	+02 15 45.6	2MFGC6007       	 22.3	11.62	 97	     	 5	3	                                  	NED
113.8905000	+12.3040000	1000	2M	07 35 33.72	+12 18 14.4	CGCG058-005     	 21.0	10.93	 76	 5086	 3	 	                                  	NED
113.9664583	-71.6740833	1001	2M	07 35 51.95	-71 40 26.7	PGC267778       	 18.0	11.75	 66	 8751	 4	 	                                  	NED
114.0184583	-27.8153333	1002	2M	07 36 04.43	-27 48 55.2	PGC86055        	 18.0	11.43	 64	 7866	 5	 	IRAS                              	NED
114.0725417	-25.3735000	1003	2M	07 36 17.41	-25 22 24.6	PGC77749        	 16.6	11.39	 95	     	 2	 	                                  	NED
114.1684167	 +4.1701389	1004	2M	07 36 40.42	+04 10 12.5	CGCG030-004     	 22.8	11.81	 90	 2767	 5	1	                                  	NED
114.2632083	+22.3528889	1005	2M	07 37 03.17	+22 21 10.4	UGC03932        	 27.3	11.03	 92	 4578	 2	 	                                  	NED
114.3183750	-73.8748889	1006	2M	07 37 16.41	-73 52 29.6	PGC2816583      	 21.7	10.71	 69	 5117	 4	 	IRAS                              	NED
114.4045417	+41.9471389	1007	2M	07 37 37.09	+41 56 49.7	UGC03933        	 30.6	11.03	 62	 5896	 5	 	Vc                                	NED
