#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T09:37:44 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T09:37:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/649/A18/tableh1&-order=I&-out=Galaxy&-out=logMdust&-out=e_logMdust&-out=logUav&-out=e_logUav&-out=logqAF&-out=e_logqAF&-out=logMgas&-out=e_logMgas&-out=logfmol&-out=e_logfmol&-out=logMstar&-out=e_logMstar&-out=logsSFR&-out=e_logsSFR&-out=logOovHp12&-out=e_logOovHp12&-out=SimbadName&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36490018
#Name: J/A+A/649/A18
#Title: Nearby galaxy perspective on dust evolution (Galliano+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/649/a18	    IVOID of underlying data collection
#INFO	creator=Galliano F.	    First author or institution
#INFO	cites=bibcode:2021A&A...649A..18G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/649/A18	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36490018	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-01-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_649_A18_tableh1:
#Name: J/A+A/649/A18/tableh1
#Title: SED fitting results
#Column	Galaxy	(a15)	Galaxy name according to the DustPedia catalog (1)	[ucd=meta.id;meta.main]
#Column	logMdust	(E11.4)	Decimal logarithm of the dust mass	[ucd=phys.mass]
#Column	e_logMdust	(E11.4)	Uncertainty on logMdust	[ucd=stat.error]
#Column	logUav	(E11.4)	Decimal logarithm of the average starlight intensity, U, in 2.2E-5W/m2	[ucd=phot.mag;em.opt.U]
#Column	e_logUav	(E11.4)	Uncertainty on logUav	[ucd=stat.error]
#Column	logqAF	(E11.4)	Decimal logarithm of the mass fraction of small a-C(:H) grains	[ucd=phys.mass]
#Column	e_logqAF	(E11.4)	Uncertainty on logqAF	[ucd=stat.error]
#Column	logMgas	(E11.4)	? Decimal logarithm of the gas mass	[ucd=phys.mass]
#Column	e_logMgas	(E11.4)	? Uncertainty on logMgas	[ucd=stat.error]
#Column	logfmol	(E11.4)	? Decimal logarithm of the mass fraction of molecular gas	[ucd=phys.mass]
#Column	e_logfmol	(E11.4)	? Uncertainty on logfmol	[ucd=stat.error]
#Column	logMstar	(E11.4)	? Decimal logarithm of the stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(E11.4)	? Uncertainty on logMstar	[ucd=stat.error]
#Column	logsSFR	(E11.4)	? Decimal logarithm of the specific star formation rate	[ucd=phys.SFR]
#Column	e_logsSFR	(E11.4)	? Uncertainty on logsSFR	[ucd=stat.error]
#Column	logOovHp12	(E11.4)	? Metallicity expressed as 12+log(O/H)	[ucd=phys.abund]
#Column	e_logOovHp12	(E11.4)	? Uncertainty on 12+log(O/H)	[ucd=stat.error]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Galaxy	logMdust	e_logMdust	logUav	e_logUav	logqAF	e_logqAF	logMgas	e_logMgas	logfmol	e_logfmol	logMstar	e_logMstar	logsSFR	e_logsSFR	logOovHp12	e_logOovHp12	SimbadName	_RA	_DE
NGC3277        	 6.6557e+00	 1.0377e-01	 3.6677e-01	 9.9822e-02	-8.7875e-01	 5.1334e-02	 9.1072e+00	 9.8748e-02	-5.4462e-01	 1.9156e-01	 1.0436e+01	 5.0218e-02	-1.1518e+01	 2.9116e-01	           	           	NGC3277                 	158.23103	+28.51173
NGC3252        	 6.8053e+00	 1.0055e-01	 1.4726e-01	 1.0440e-01	-9.4581e-01	 4.9220e-02	 9.1036e+00	 4.6400e-02	           	           	 9.5162e+00	 7.6727e-02	-1.0198e+01	 1.4396e-01	           	           	NGC3252                 	158.59627	+73.76498
NGC3287        	 6.5561e+00	 3.4067e-02	 3.5086e-01	 3.5861e-02	-9.8713e-01	 3.3320e-02	 8.7044e+00	 4.9036e-02	           	           	 9.2048e+00	 7.0598e-02	-9.8581e+00	 1.0130e-01	 8.4120e+00	 2.7600e-02	NGC3287                 	158.69698	+21.64834
NGC3294        	 7.7130e+00	 9.2274e-03	 4.0969e-01	 9.2830e-03	-8.9300e-01	 9.8703e-03	 9.8352e+00	 4.8107e-02	-6.5934e-01	 1.3782e-01	 1.0549e+01	 6.6993e-02	-9.9666e+00	 8.1217e-02	 8.5729e+00	 2.6264e-02	NGC3294                 	159.06773	+37.32473
NGC3301        	 5.8380e+00	 1.7849e-01	 8.7045e-01	 1.7698e-01	-9.9787e-01	 1.1267e-01	 9.7434e+00	 2.1210e-01	           	           	 1.0569e+01	 5.3549e-02	-1.1866e+01	 1.6952e-01	           	           	NGC3301                 	159.23346	+21.88217
NGC3338        	 7.7391e+00	 5.2092e-02	 4.6528e-02	 7.4451e-02	-8.1859e-01	 4.7041e-02	 1.0419e+01	 4.7982e-03	-1.4824e+00	 1.4945e-01	 1.0198e+01	 4.5289e-02	-9.8760e+00	 1.0583e-01	 8.5639e+00	 4.8517e-02	NGC3338                 	160.53140	+13.74699
NGC3346        	 7.3831e+00	 4.1849e-02	 2.5598e-02	 3.6584e-02	-8.1744e-01	 3.5377e-02	 9.5124e+00	 1.9930e-02	-1.0171e+00	 1.7414e-01	 9.9626e+00	 7.1113e-02	-9.9578e+00	 8.3097e-02	 8.4803e+00	 5.1999e-02	NGC3346                 	160.91221	+14.87179
NGC3351        	 7.0787e+00	 3.7267e-02	 5.7904e-01	 6.2389e-02	-1.0392e+00	 5.2212e-02	 9.5221e+00	 6.7208e-02	-4.3708e-01	 1.4582e-01	 1.0367e+01	 7.2637e-02	-1.0381e+01	 1.1901e-01	 8.6500e+00	 1.9070e-02	NGC3351                 	160.99038	+11.70379
UGC05846       	 5.7127e+00	 3.4633e-01	-1.0201e-01	 3.4548e-01	-1.0095e+00	 1.8606e-01	           	           	           	           	 8.4050e+00	 1.2754e-01	-9.7023e+00	 1.3465e-01	           	           	UGC05846                	161.11890	+60.36705
NGC3353        	 6.2006e+00	 3.9551e-02	 1.2855e+00	 3.9687e-02	-1.4001e+00	 1.4709e-02	           	           	           	           	 9.0186e+00	 8.3843e-02	-8.9898e+00	 8.6412e-02	 8.2169e+00	 1.9199e-02	NGC3353                 	161.34329	+55.96038
NGC3370        	 7.4888e+00	 2.9379e-02	 3.8613e-01	 2.8565e-02	-9.0004e-01	 1.0257e-02	 1.0022e+01	 3.1736e-02	-8.0999e-01	 1.4433e-01	 1.0012e+01	 8.0963e-02	-9.5377e+00	 8.7605e-02	 8.4746e+00	 2.0628e-02	NGC3370                 	161.76683	+17.27370
NGC3348        	 6.0522e+00	 5.1378e-01	 1.6290e-01	 4.5791e-01	-9.4316e-01	 1.9975e-01	           	           	           	           	 1.1335e+01	 7.3046e-02	-1.2144e+01	 1.7759e-01	           	           	NGC3348                 	161.79164	+72.83967
NGC3380        	 5.5044e+00	 7.7214e-02	 3.4743e-01	 8.1550e-02	-9.4609e-01	 3.1655e-02	 7.9833e+00	 1.0203e-01	           	           	 8.7986e+00	 5.9430e-02	-1.0572e+01	 1.1732e-01	           	           	NGC3380                 	162.05077	+28.60180
NGC3381        	 7.0393e+00	 4.6449e-02	 3.9678e-01	 4.4822e-02	-9.2738e-01	 1.1153e-02	 9.6011e+00	 3.4097e-03	           	           	 9.6794e+00	 6.6582e-02	-9.5899e+00	 7.3054e-02	 8.4307e+00	 9.9923e-03	NGC3381                 	162.10333	+34.71141
NGC3364        	 7.2800e+00	 6.7319e-02	 3.1507e-01	 7.5398e-02	-8.9202e-01	 2.6053e-02	 9.7367e+00	 3.6490e-02	           	           	 1.0073e+01	 9.1800e-02	-9.8797e+00	 1.0937e-01	           	           	NGC3364                 	162.12418	+72.42500
UGC05958       	 6.6247e+00	 1.2885e-01	-2.2677e-01	 1.5928e-01	-1.0335e+00	 8.5443e-02	 8.7537e+00	 2.5431e-02	           	           	 9.2661e+00	 7.4542e-02	-1.0554e+01	 1.2422e-01	 8.3422e+00	 5.3900e-02	UGC05958                	162.81584	+27.84858
NGC3414        	 6.7023e+00	 2.7331e-01	-9.9545e-02	 2.4987e-01	-6.7435e-01	 1.3922e-01	 1.0368e+01	 2.0472e-01	           	           	 1.1055e+01	 2.8198e-02	-1.2004e+01	 5.5758e-02	           	           	NGC3414                 	162.81767	+27.97497
NGC3413        	 6.2859e+00	 1.0387e-01	 3.5491e-01	 1.3315e-01	-1.2938e+00	 6.0183e-02	 9.1101e+00	 2.2811e-03	           	           	 9.0166e+00	 4.2815e-02	-9.8359e+00	 1.2849e-01	 8.1716e+00	 5.2325e-02	NGC3413                 	162.83629	+32.76637
NGC3424        	 7.4262e+00	 2.5857e-02	 7.0628e-01	 2.1703e-02	-1.0697e+00	 1.7768e-02	 9.6528e+00	 2.0853e-02	           	           	 1.0253e+01	 6.9871e-02	-9.7358e+00	 9.8364e-02	           	           	NGC3424                 	162.94301	+32.90068
UGC05955       	 5.7769e+00	 3.4990e-01	-3.6285e-02	 3.3471e-01	-9.3881e-01	 1.4709e-01	           	           	           	           	 9.7464e+00	 8.8034e-02	-1.1692e+01	 4.1405e-01	           	           	UGC05955                	163.01779	+71.77314
NGC3430        	 7.5966e+00	 2.6488e-02	 3.1725e-01	 2.4355e-02	-9.4218e-01	 1.1238e-02	 1.0075e+01	 7.8348e-02	           	           	 1.0312e+01	 7.9912e-02	-9.8203e+00	 9.7631e-02	 8.5436e+00	 2.0434e-02	NGC3430                 	163.04756	+32.95042
NGC3437        	 7.3923e+00	 2.0507e-02	 8.4802e-01	 1.3859e-02	-9.9221e-01	 1.1196e-02	 9.8474e+00	 3.7230e-02	-6.2782e-01	 1.3012e-01	 1.0214e+01	 7.2820e-02	-9.4636e+00	 8.0049e-02	 8.5520e+00	 5.0428e-02	NGC3437                 	163.14894	+22.93412
UGC05990       	 6.5441e+00	 1.1949e-01	 1.1765e-01	 1.2525e-01	-1.1232e+00	 6.3594e-02	 8.8478e+00	 2.1161e-02	           	           	 9.1501e+00	 6.7937e-02	-1.0100e+01	 9.2475e-02	 8.3333e+00	 2.6013e-02	UGC05990                	163.15984	+34.48279
NGC3440        	 6.9962e+00	 1.2546e-01	 2.0770e-01	 1.2535e-01	-1.4927e+00	 5.8409e-02	 9.8255e+00	 5.7472e-02	           	           	 9.4114e+00	 8.6519e-02	-9.4798e+00	 9.0732e-02	 8.0071e+00	 2.5954e-02	NGC3440                 	163.45628	+57.11876
NGC3403        	 7.2305e+00	 8.4031e-02	 1.8499e-01	 8.3218e-02	-9.6055e-01	 5.4474e-02	 9.9631e+00	 1.0875e-02	           	           	 9.9357e+00	 8.2255e-02	-9.9429e+00	 9.3613e-02	           	           	NGC3403                 	163.47855	+73.69037
UGC06016       	 5.7662e+00	 4.3194e-01	-2.5305e-01	 4.0564e-01	-1.3610e+00	 1.7210e-01	 9.6657e+00	 1.0322e-01	           	           	 8.7209e+00	 1.4149e-01	-9.5229e+00	 1.4536e-01	 8.0377e+00	 5.7710e-02	UGC06016                	163.55315	+54.28724
UGC06023       	 7.0357e+00	 4.3735e-02	 3.7376e-01	 4.7680e-02	-9.9121e-01	 1.8835e-02	 9.3306e+00	 1.0423e-02	           	           	 9.6000e+00	 7.3081e-02	-9.6085e+00	 8.3649e-02	 8.4279e+00	 8.4561e-03	UGC06023                	163.58691	+27.23966
NGC3454        	 6.6688e+00	 9.3180e-02	 2.6342e-01	 1.2359e-01	-1.0350e+00	 7.7306e-02	 8.9535e+00	 5.6008e-02	           	           	 9.4705e+00	 6.9993e-02	-1.0331e+01	 1.2133e-01	 8.3941e+00	 4.8239e-02	NGC3454                 	163.62274	+17.34405
NGC3455        	 7.1303e+00	 5.8937e-02	 1.1098e-01	 6.4827e-02	-1.0004e+00	 3.2056e-02	 9.6194e+00	 2.7311e-03	           	           	 9.5615e+00	 7.9489e-02	-9.5838e+00	 8.4286e-02	           	           	NGC3455                 	163.62955	+17.28471
NGC3448        	 6.9952e+00	 2.0049e-02	 7.8767e-01	 1.7899e-02	-1.2471e+00	 9.5925e-03	 1.0026e+01	 9.6404e-03	           	           	 9.7848e+00	 7.7090e-02	-9.4730e+00	 8.9405e-02	 8.3140e+00	 6.5436e-02	NGC3448                 	163.66350	+54.30523
NGC3458        	 5.4572e+00	 4.1472e-01	-2.8023e-02	 4.4036e-01	-8.5457e-01	 1.9280e-01	           	           	           	           	 1.0468e+01	 3.2453e-02	-1.2798e+01	 4.4999e-01	           	           	NGC3458                 	164.00616	+57.11697
NGC3485        	 7.0416e+00	 1.0147e-01	 5.1351e-01	 1.4570e-01	-9.7603e-01	 6.8119e-02	 9.8071e+00	 2.7814e-02	-1.0139e+00	 2.2167e-01	 9.9318e+00	 7.9653e-02	-9.8887e+00	 1.1453e-01	 8.5052e+00	 2.2259e-02	NGC3485                 	165.00988	+14.84166
NGC3488        	 7.1634e+00	 6.0450e-02	 1.7562e-01	 6.1366e-02	-8.6918e-01	 1.6980e-02	 9.5825e+00	 5.9796e-02	           	           	 9.9118e+00	 7.1433e-02	-9.9482e+00	 8.1257e-02	 8.5029e+00	 3.2625e-02	NGC3488                 	165.34831	+57.67774
NGC3501        	 7.1900e+00	 5.1329e-02	 1.6398e-01	 5.9295e-02	-9.7670e-01	 3.8938e-02	 9.5582e+00	 3.5678e-02	-8.5698e-01	 1.7257e-01	 1.0045e+01	 6.5642e-02	-1.0344e+01	 9.0495e-02	           	           	NGC3501                 	165.69711	+17.98953
NGC3504        	 7.4795e+00	 8.9539e-03	 1.1167e+00	 1.0231e-02	-1.1853e+00	 4.8807e-03	 9.7755e+00	 1.2683e-01	-3.7217e-01	 1.9876e-01	 1.0540e+01	 9.8616e-02	-9.5227e+00	 1.0678e-01	 8.6215e+00	 2.1980e-02	NGC3504                 	165.79663	+27.97244
NGC3512        	 6.9519e+00	 5.3976e-02	 3.6230e-01	 5.9939e-02	-8.6186e-01	 1.3161e-02	 9.3284e+00	 5.8058e-02	-6.8582e-01	 1.7381e-01	 9.9200e+00	 6.7558e-02	-9.9597e+00	 7.8360e-02	 8.5829e+00	 8.8606e-03	NGC3512                 	166.01231	+28.03678
NGC3521        	 7.8066e+00	 4.3064e-02	 5.6424e-01	 5.4798e-02	-8.7918e-01	 1.8132e-02	 1.0347e+01	 2.9462e-02	-7.4181e-01	 1.4404e-01	 1.0896e+01	 6.5821e-02	-1.0483e+01	 1.8206e-01	 8.6047e+00	 2.5266e-02	NGC3521                 	166.45236	-00.03590
NGC3526        	 6.6751e+00	 8.8405e-02	 8.1499e-02	 9.7858e-02	-1.1526e+00	 6.1340e-02	 9.1351e+00	 3.5451e-02	-1.1669e+00	 3.3050e-01	 9.2152e+00	 9.9990e-02	-9.9000e+00	 1.2427e-01	 8.2550e+00	 6.5306e-02	NGC3526                 	166.73593	+07.17392
NGC3547        	 6.4292e+00	 3.7760e-02	 6.9399e-01	 3.8654e-02	-1.0961e+00	 1.6855e-02	 9.0011e+00	 6.3849e-03	           	           	 9.1622e+00	 6.6154e-02	-9.4548e+00	 7.0609e-02	 8.3604e+00	 3.5904e-02	NGC3547                 	167.48312	+10.72074
NGC3564        	 5.9967e+00	 3.6487e-01	-1.1312e-01	 4.0382e-01	-9.5947e-01	 1.6180e-01	 9.9704e+00	 8.7488e-02	           	           	 1.0904e+01	 6.0429e-02	-1.1914e+01	 2.1348e-01	           	           	NGC3564                 	167.65158	-37.54756
NGC3592        	 6.6544e+00	 1.0468e-01	-5.8329e-02	 1.4156e-01	-9.6331e-01	 7.3954e-02	 8.7910e+00	 2.8400e-02	           	           	 9.3700e+00	 7.0853e-02	-1.0576e+01	 1.5955e-01	 8.3910e+00	 5.1523e-02	NGC3592                 	168.61351	+17.26020
NGC3596        	 7.7292e+00	 2.9982e-02	 7.9290e-02	 3.0381e-02	-7.7489e-01	 1.9439e-02	 1.0062e+01	 3.6402e-02	-7.0656e-01	 1.3738e-01	 1.0292e+01	 7.8483e-02	-9.8369e+00	 9.4192e-02	 8.5264e+00	 4.3038e-02	NGC3596                 	168.77586	+14.78702
NGC3620        	 7.3020e+00	 7.9849e-02	 1.0259e+00	 7.6649e-02	-1.3815e+00	 1.9658e-02	           	           	           	           	 1.0380e+01	 9.5476e-02	-9.7547e+00	 1.3443e-01	           	           	NGC3620                 	169.01950	-76.21632
PGC034407      	 5.9655e+00	 3.6828e-01	-3.8638e-01	 3.6644e-01	-9.3895e-01	 1.7135e-01	           	           	           	           	 8.9720e+00	 9.1426e-02	-1.1378e+01	 5.0431e-01	           	           	PGC034407               	169.14698	+18.11833
NGC3608        	 5.8542e+00	 4.7227e-01	 9.6899e-02	 4.2478e-01	-8.9580e-01	 1.9108e-01	           	           	           	           	 1.0924e+01	 2.8884e-02	-1.2897e+01	 4.4893e-01	           	           	NGC3608                 	169.24570	+18.14853
NGC3621        	 7.2651e+00	 4.7766e-02	 2.9810e-01	 7.0996e-02	-8.7077e-01	 3.5674e-02	 9.9986e+00	 2.2465e-02	           	           	 1.0276e+01	 1.2172e-01	-1.0143e+01	 1.4032e-01	 8.4350e+00	 3.1819e-02	NGC3621                 	169.56792	-32.81260
UGC06324       	 5.7741e+00	 2.2386e-01	 1.3662e-01	 2.8548e-01	-1.0170e+00	 1.3434e-01	 8.4267e+00	 1.5070e-02	           	           	 8.9368e+00	 7.9727e-02	-1.0575e+01	 1.4029e-01	           	           	UGC06324                	169.59209	+18.73834
NGC3610        	 6.4528e+00	 4.3940e-01	 2.2224e-01	 4.5510e-01	-4.8782e-01	 1.7885e-01	           	           	           	           	 1.1028e+01	 3.5153e-02	-1.3010e+01	 3.6107e-01	           	           	NGC3610                 	169.60532	+58.78625
NGC3613        	 6.3020e+00	 4.3101e-01	-1.3116e-01	 3.8016e-01	-8.0215e-01	 1.7458e-01	           	           	           	           	 1.1091e+01	 4.0591e-02	-1.2826e+01	 3.5122e-01	           	           	NGC3613                 	169.65054	+57.99992
NGC3619        	 7.3565e+00	 1.2294e-01	-1.5118e-01	 1.1323e-01	-6.9127e-01	 1.3074e-01	 9.9426e+00	 1.1801e-01	           	           	 1.0839e+01	 6.1395e-02	-1.1553e+01	 2.8583e-01	 8.5084e+00	 1.5741e-02	NGC3619                 	169.84009	+57.75768
ESO377-039     	 6.3038e+00	 2.4319e-01	 5.9806e-02	 2.8798e-01	-1.0087e+00	 1.2930e-01	           	           	           	           	 9.5050e+00	 1.1186e-01	-1.0618e+01	 2.0655e-01	           	           	ESO377-039              	169.83974	-36.59574
UGC06341       	 5.3605e+00	 4.0710e-01	-1.1028e-01	 3.8632e-01	-1.2604e+00	 1.6367e-01	 8.9360e+00	 1.0003e-02	           	           	 8.8523e+00	 1.3593e-01	-1.0255e+01	 1.8718e-01	 8.1086e+00	 6.3489e-02	UGC06341                	170.00278	+18.26049
NGC3626        	 6.6046e+00	 6.9461e-02	 6.1603e-01	 8.1501e-02	-1.0205e+00	 4.5075e-02	 9.5563e+00	 1.1394e-01	           	           	 1.0430e+01	 6.2415e-02	-1.1156e+01	 3.8921e-01	           	           	NGC3626                 	170.01581	+18.35679
NGC3622        	 6.5657e+00	 7.2860e-02	 4.1331e-01	 7.5058e-02	-1.1663e+00	 1.4224e-02	 9.1568e+00	 2.1322e-02	           	           	 9.1942e+00	 7.3214e-02	-9.5769e+00	 7.9577e-02	 8.2745e+00	 5.0604e-02	NGC3622                 	170.05179	+67.24180
NGC3627        	 7.5462e+00	 2.9646e-02	 7.7758e-01	 4.8458e-02	-1.2400e+00	 2.5282e-02	 9.8932e+00	 1.0722e-01	-2.5084e-01	 1.6750e-01	 1.0798e+01	 6.6941e-02	-1.0375e+01	 1.6085e-01	 8.5161e+00	 4.0574e-02	NGC3627                 	170.06261	+12.99129
NGC3628        	 7.7289e+00	 1.4187e-02	 4.6527e-01	 2.1908e-02	-1.0821e+00	 1.7509e-02	 1.0355e+01	 5.5913e-02	-5.1364e-01	 1.3811e-01	 1.0534e+01	 6.8573e-02	-1.0260e+01	 2.8470e-01	 8.5007e+00	 3.7139e-02	NGC3628                 	170.07091	+13.58949
NGC3629        	 7.3395e+00	 8.9570e-02	-1.9393e-02	 1.1859e-01	-1.0047e+00	 6.3943e-02	 9.8852e+00	 2.0560e-03	           	           	 9.7361e+00	 5.6063e-02	-9.5686e+00	 6.6964e-02	 8.3443e+00	 6.5139e-02	NGC3629                 	170.13248	+26.96341
NGC3631        	 6.8425e+00	 2.9781e-02	 4.4284e-01	 4.5646e-02	-8.6692e-01	 2.4192e-02	           	           	           	           	 9.5968e+00	 7.6496e-02	-9.7544e+00	 8.9938e-02	 8.5272e+00	 1.9094e-02	NGC3631                 	170.26227	+53.16943
NGC3640        	 6.0868e+00	 5.2940e-01	 3.5220e-01	 5.3319e-01	-8.8330e-01	 2.4029e-01	           	           	           	           	 1.1068e+01	 2.1882e-02	-1.3359e+01	 1.6065e-01	           	           	NGC3640                 	170.27855	+03.23476
NGC3655        	 7.2050e+00	 1.5178e-02	 7.6990e-01	 1.3522e-02	-9.5247e-01	 8.6736e-03	 9.6175e+00	 5.3352e-02	-5.0523e-01	 1.2988e-01	 9.9691e+00	 7.7829e-02	-9.5471e+00	 8.7717e-02	           	           	NGC3655                 	170.72765	+16.59006
NGC3659        	 6.9172e+00	 5.6432e-02	 3.0656e-01	 5.8775e-02	-9.3502e-01	 8.1789e-03	 9.5591e+00	 6.7021e-03	-1.3316e+00	 1.3188e-01	 9.3687e+00	 8.4588e-02	-9.5355e+00	 9.2837e-02	 8.4008e+00	 3.6084e-02	NGC3659                 	170.93974	+17.81859
NGC3666        	 6.9732e+00	 4.2694e-02	 2.8781e-01	 4.2192e-02	-9.2137e-01	 4.4170e-02	 9.6683e+00	 1.5806e-02	-9.6749e-01	 1.2571e-01	 9.6897e+00	 7.8357e-02	-9.8900e+00	 1.0409e-01	 8.3639e+00	 5.6449e-02	NGC3666                 	171.10862	+11.34206
NGC3665        	 6.7879e+00	 6.5697e-02	 6.8992e-01	 5.9426e-02	-8.8709e-01	 6.1086e-02	           	           	           	           	 1.1191e+01	 3.1653e-02	-1.1690e+01	 7.0615e-02	           	           	NGC3665                 	171.18179	+38.76279
NGC3674        	 5.7312e+00	 3.2061e-01	 1.6453e-01	 3.4406e-01	-9.2657e-01	 1.4937e-01	           	           	           	           	 1.0648e+01	 3.5714e-02	-1.2293e+01	 2.1123e-01	           	           	NGC3674                 	171.61089	+57.04835
NGC3681        	 7.2282e+00	 7.5879e-02	-4.5943e-02	 7.9443e-02	-8.1151e-01	 4.4618e-02	 9.8197e+00	 7.3305e-03	-1.2533e+00	 1.3640e-01	 1.0299e+01	 7.7387e-02	-1.0485e+01	 9.6011e-02	           	           	NGC3681                 	171.62409	+16.86341
IC2828         	 5.6111e+00	 1.5199e-01	 4.9271e-01	 1.5927e-01	-1.3094e+00	 6.2509e-02	 8.2956e+00	 7.7957e-03	           	           	 8.2449e+00	 9.0526e-02	-9.4153e+00	 1.0250e-01	 8.1029e+00	 2.8071e-02	IC2828                  	171.79551	+08.73102
NGC3684        	 7.1379e+00	 5.0908e-02	 3.0283e-01	 6.3215e-02	-8.5538e-01	 3.2937e-02	 9.7313e+00	 2.2884e-02	-9.7150e-01	 1.7581e-01	 9.7892e+00	 8.4584e-02	-9.7600e+00	 1.0177e-01	 8.5155e+00	 2.0054e-02	NGC3684                 	171.79655	+17.03031
NGC3683        	 7.5332e+00	 1.6537e-02	 8.9141e-01	 1.4846e-02	-9.4623e-01	 8.5295e-03	 9.8064e+00	 8.9837e-02	-3.9058e-01	 1.5713e-01	 1.0429e+01	 6.6436e-02	-9.6545e+00	 9.9407e-02	 8.5643e+00	 2.9422e-02	NGC3683                 	171.88287	+56.87671
NGC3686        	 7.0885e+00	 2.5547e-02	 3.5355e-01	 3.2340e-02	-8.5765e-01	 1.7104e-02	 9.2676e+00	 6.4224e-02	-5.2250e-01	 1.4925e-01	 9.8979e+00	 6.8402e-02	-9.9253e+00	 7.8706e-02	 8.5779e+00	 2.5005e-02	NGC3686                 	171.93309	+17.22406
NGC3691        	 6.8037e+00	 7.2721e-02	 3.0950e-01	 8.1435e-02	-1.0173e+00	 3.1420e-02	 8.9882e+00	 1.6404e-02	           	           	 9.5797e+00	 5.4805e-02	-9.7821e+00	 6.5433e-02	 8.3904e+00	 6.2979e-02	NGC3691                 	172.03914	+16.92032
NGC3692        	 7.5221e+00	 6.1856e-02	 2.0439e-01	 5.7675e-02	-9.4856e-01	 3.0752e-02	 9.8052e+00	 5.7069e-02	           	           	 1.0575e+01	 6.9366e-02	-1.0409e+01	 1.0088e-01	           	           	NGC3692                 	172.10022	+09.40775
NGC3718        	 8.0647e+00	 1.0937e-01	-4.3106e-01	 1.0441e-01	-6.3567e-01	 3.3152e-02	           	           	           	           	 1.1356e+01	 7.3975e-02	-1.1183e+01	 1.1114e-01	           	           	NGC3718                 	173.14522	+53.06791
NGC3729        	 7.0580e+00	 2.9902e-02	 4.5852e-01	 3.2350e-02	-9.6740e-01	 9.3436e-03	 9.9528e+00	 2.4690e-02	-8.8945e-01	 1.4677e-01	 1.0278e+01	 5.8890e-02	-1.0486e+01	 1.4886e-01	 8.5425e+00	 6.8810e-02	NGC3729                 	173.45550	+53.12550
UGC06566       	 5.2951e+00	 3.4858e-01	-1.0644e-01	 4.7033e-01	-1.0682e+00	 2.0092e-01	 9.2279e+00	 5.1987e-02	           	           	 8.4943e+00	 1.3401e-01	-1.0423e+01	 1.7022e-01	           	           	UGC06566                	173.93171	+58.19253
UGC06575       	 7.0709e+00	 9.7926e-02	-1.1042e-01	 1.0763e-01	-1.1936e+00	 7.8523e-02	 9.7345e+00	 4.6044e-02	           	           	 9.4793e+00	 8.2859e-02	-9.7176e+00	 9.5426e-02	 8.2186e+00	 5.7441e-02	UGC06575                	174.11044	+58.18936
NGC3755        	 7.2860e+00	 9.7410e-02	 8.4334e-02	 9.9861e-02	-1.1522e+00	 7.4427e-02	 1.0152e+01	 2.3205e-02	           	           	 9.7823e+00	 8.8924e-02	-9.5547e+00	 9.3757e-02	 8.2488e+00	 7.3859e-02	NGC3755                 	174.13903	+36.41026
NGC3756        	 7.4063e+00	 3.1038e-02	 4.8303e-03	 2.8097e-02	-8.5178e-01	 2.5671e-02	 9.6253e+00	 2.8276e-02	-9.2243e-01	 1.5750e-01	 1.0161e+01	 6.6597e-02	-1.0286e+01	 1.0713e-01	 8.5347e+00	 3.6335e-02	NGC3756                 	174.20010	+54.29353
NGC3757        	 5.5914e+00	 2.8104e-01	 1.6239e-01	 3.1032e-01	-9.5978e-01	 1.3740e-01	           	           	           	           	 1.0128e+01	 6.1893e-02	-1.1985e+01	 2.2489e-01	           	           	NGC3757                 	174.26193	+58.41551
