#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-07T10:24:29 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-07T10:24:29	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=VII/161/catalog&-order=I&-out=SPB&-out=Name&-out=RAB1950&-out=DEB1950&-out=HVel&-out=Group&-out=i&-out=BT&-out=logD25&-out=IRAS&-out=logR25&-out=logFIR&-out=Name2&-out=type&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7161
#Name: VII/161
#Title: Nearby Galaxies (Schmidt+ 1993)
#INFO	ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/161	    IVOID of underlying data collection
#INFO	creator=Schmidt K.-H.	    First author or institution
#INFO	cites=bibcode:1993AN....314..371S	    Article or Data origin sources
#INFO	journal=AN	    Journal name
#INFO	original_date=1993	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/161	    Dataset landing page
#INFO	publication_date=2013-03-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_161_catalog:
#Name: VII/161/catalog
#Title: The Catalogue
#Column	SPB	(I3)	[1/276]+ Running number in order of RA1950	[ucd=meta.id;meta.main]
#Column	Name	(a19)	Name (or comma-separated list of names)	[ucd=meta.id]
#Column	RAB1950	(A7)	Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A6)	Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	HVel	(I4)	[]? Heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Group	(a6)	Group membership	[ucd=meta.code.member]
#Column	i	(I2)	[]? Inclination (face-on, in degrees)	[ucd=src.orbital.inclination]
#Column	BT	(F5.2)	[]? Observed total photoelectric blue mag.	[ucd=phot.mag;em.opt.B]
#Column	logD25	(F5.2)	[]? Logarithm of the angular diameter D25	[ucd=phys.angSize]
#Column	IRAS	(A10)	Name of the main infrared source from the IRAS catalogue (1988) (several for more than one possible identification)	[ucd=meta.id.cross]
#Column	logR25	(F5.2)	[]? Logarithm of the axis ratio R25	[ucd=phys.size.axisRatio]
#Column	logFIR	(F9.2)	[]? Logarithm of the far-infrared-flux (erg/cm2/s)	[ucd=phot.flux;em.IR]
#Column	Name2	(a19)	Alternate name(s)	[ucd=meta.id]
#Column	type	(F4.1)	[]? Morphological type (numerical encoded)	[ucd=src.morph.type]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
SPB	Name	RAB1950	DEB1950	HVel	Group	i	BT	logD25	IRAS	logR25	logFIR	Name2	type	_RA.icrs	_DE.icrs
148	K73                	10 49.5	+69 49	 115	B2    	  	     	 0.78	          	 0.00	         	                   	10.0	10 52 57.1	+69 33 03
149	KKB1050+65         	10 50.5	+65 31	    	B2a   	  	     	     	          	     	         	                   	10.0	10 53 46.3	+65 15 02
150	BK8N               	10 51.1	+65 28	    	B2a   	  	15.80	 1.48	          	 0.05	         	                   	10.0	10 54 21.8	+65 12 01
151	KKB1051+65         	10 51.3	+65 33	    	B2a   	  	     	     	          	     	         	                   	10.0	10 54 33.9	+65 17 01
152	K74                	10 59.0	+70 32	    	B2    	  	17.30	 0.78	          	 0.00	         	                   	-5.0	11 02 21.8	+70 15 51
153	U6253              	11 10.8	+22 26	  90	LG    	  	12.60	 2.08	          	 0.04	         	K77,04-27-005      	-5.0	11 13 27.4	+22 09 40
154	N3621              	11 15.8	-32 32	 726	field 	53	10.18	 2.09	11159-3235	 0.24	    -8.68	-05-27-008         	 7.0	11 18 13.8	-32 48 25
155	U6456              	11 24.6	+79 16	 -94	field 	55	     	 1.16	          	 0.24	         	13-08-058          	    	11 28 00.7	+78 59 29
156	U6541              	11 30.8	+49 31	 239	B4    	57	14.50	 1.09	          	 0.27	         	                   	10.0	11 33 31.2	+49 14 25
157	N3738              	11 33.1	+54 48	 229	B4    	40	12.13	 1.40	11330+5448	 0.12	    -9.96	09-19-130          	10.0	11 35 50.2	+54 31 24
158	N3741              	11 33.4	+45 34	 211	B4    	  	14.30	 1.31	11332+4533	 0.26	   -10.98	                   	10.0	11 36 05.2	+45 17 24
159	U6782              	11 46.4	+24 07	 526	field 	30	15.00	 1.30	          	 0.00	         	                   	10.0	11 48 59.3	+23 50 19
160	U6817              	11 48.2	+39 09	 248	B4    	64	13.40	 1.61	          	 0.42	         	                   	10.0	11 50 48.2	+38 52 19
161	A1156+27,BTS76     	11 56.2	+27 51	 499	field 	  	16.50	 0.81	          	     	         	                   	10.0	11 58 46.1	+27 34 18
162	N4068              	12 01.5	+52 52	 212	B4    	55	     	 1.52	12012+5252	 0.28	   -10.75	                   	10.0	12 04 02.7	+52 35 18
163	05-29-009          	12 02.8	+28 39	 508	field 	  	     	 0.80	          	 0.22	         	                   	    	12 05 21.1	+28 22 18
164	U7131              	12 06.7	+31 11	 253	field 	  	     	 1.18	          	 0.56	         	                   	 8.0	12 09 14.4	+30 54 19
165	N4144              	12 07.5	+46 44	 267	B4    	80	12.05	 1.78	12074+4644	 0.66	   -10.02	                   	 6.0	12 10 01.1	+46 27 19
166	U7160              	12 07.6	+70 42	    	B2    	  	     	 1.00	          	 0.00	         	                   	10.0	12 10 02.5	+70 25 19
167	N4150              	12 08.0	+30 41	 240	B4    	43	12.44	 1.37	12080+3040	 0.16	   -10.15	                   	-2.0	12 10 32.2	+30 24 19
168	N4163              	12 09.6	+36 27	 165	B4    	22	14.50	 1.26	12093+3628	 0.05	   -10.85	                   	10.0	12 12 07.4	+36 10 19
169	E321-14            	12 11.2	-37 57	 613	 field	  	     	 1.15	          	 0.36	         	                   	10.0	12 13 48.6	-38 13 41
170	N4190              	12 11.2	+36 55	 231	B4    	21	13.90	 1.22	12111+3654	 0.04	   -10.57	06-27-030          	10.0	12 13 43.0	+36 38 19
171	UA276              	12 12.4	+36 30	 284	B4    	14	     	 1.00	          	 0.00	         	                   	10.0	12 14 54.8	+36 13 20
172	N4214              	12 13.1	+36 36	 290	B4    	38	10.24	 1.93	12131+3636	 0.11	    -9.10	                   	10.0	12 15 36.7	+36 19 20
173	U7298              	12 14.0	+52 30	 172	B4    	52	     	 1.10	          	 0.33	         	                   	10.0	12 16 28.0	+52 13 20
174	N4236              	12 14.4	+69 45	   0	B2    	74	10.05	 2.34	12140+6947	 0.48	    -9.59	                   	 8.0	12 16 45.5	+69 28 20
175	N4244              	12 15.0	+38 05	 242	B4    	86	10.88	 2.22	12150+3804	 0.94	    -9.47	                   	 6.0	12 17 30.1	+37 48 20
176	U7321              	12 15.0	+22 49	 408	field 	90	14.15	 1.74	          	 1.19	         	                   	 7.0	12 17 31.8	+22 32 20
177	I3104              	12 15.7	-79 27	 430	field 	62	     	 1.58	          	 0.32	         	                   	10.0	12 18 43.0	-79 43 40
178	U7356              	12 16.7	+47 22	 264	B4    	42	     	 0.96	          	 0.03	         	                   	10.0	12 19 10.1	+47 05 21
179	I779               	12 17.1	+30 10	 333	B4    	 0	     	 0.99	          	 0.00	         	                   	    	12 19 36.7	+29 53 21
180	I3247              	12 20.7	+29 10	 525	field 	90	     	 1.38	          	 1.08	         	                   	 5.0	12 23 12.2	+28 53 23
181	I3308              	12 22.8	+26 59	 333	B4    	  	     	 1.13	          	 0.80	         	                   	 8.0	12 25 18.2	+26 42 23
182	N4395              	12 23.4	+33 49	 317	B4    	40	10.64	 2.12	12233+3348	 0.08	    -9.52	                   	 9.0	12 25 53.0	+33 32 24
183	MARK209            	12 23.8	+48 46	 281	B5    	27	     	 0.92	          	 0.14	         	HARO29,08-23-035   	    	12 26 13.5	+48 29 24
184	U7559              	12 24.6	+37 25	 222	B4    	47	14.20	 1.50	          	 0.20	         	                   	10.0	12 27 04.0	+37 08 24
185	U7577              	12 25.2	+43 46	 197	B4    	48	12.84	 1.63	          	 0.25	         	                   	10.0	12 27 38.4	+43 29 25
186	N4449              	12 25.8	+44 22	 201	B4    	45	 9.99	 1.79	          	 0.15	         	                   	10.0	12 28 14.1	+44 05 25
187	U7599              	12 26.0	+37 31	 280	B4    	58	14.90	 1.30	          	 0.29	         	                   	 9.0	12 28 27.7	+37 14 25
188	U7605              	12 26.2	+35 59	 307	B4    	46	     	 1.06	          	 0.15	         	                   	10.0	12 28 40.0	+35 42 25
189	U7639              	12 27.5	+47 48	 382	B5    	63	     	 1.36	          	 0.15	         	                   	10.0	12 29 54.6	+47 31 26
190	U7698              	12 30.4	+31 49	 333	B4    	48	13.00	 1.81	          	 0.16	         	                   	10.0	12 32 52.1	+31 32 27
191	A1236+33           	12 36.0	+33 02	 309	B4    	44	     	 1.00	          	 0.16	         	06-28-000          	10.0	12 38 26.8	+32 45 31
192	N4605              	12 37.8	+61 53	 145	field 	68	10.89	 1.76	12378+6152	 0.42	    -9.11	                   	 5.0	12 40 00.8	+61 36 32
193	I3687              	12 39.8	+38 46	 358	B5    	34	13.71	 1.53	          	 0.05	         	07-26-039          	10.0	12 42 12.3	+38 29 34
194	E381-20            	12 43.3	-33 34	 587	B6    	72	     	 1.47	          	 0.40	         	-06-28-017         	10.0	12 46 00.4	-33 50 23
195	U7949              	12 44.6	+36 45	 334	B5    	48	     	 1.29	12445+3648	 0.12	   -10.45	06-28-030          	10.0	12 46 59.9	+36 28 38
196	U7990              	12 48.0	+28 37	 512	B5    	  	     	 1.00	          	 0.19	         	                   	10.0	12 50 26.0	+28 20 41
197	-02-33-024         	12 48.4	-13 11	 346	field 	34	     	 1.04	12483-1311	 0.09	   -10.36	                   	    	12 51 01.2	-13 27 19
198	N4736              	12 48.5	+41 23	 309	B5    	34	 8.99	 2.05	12485+4123	 0.09	    -8.43	07-26-058          	 2.0	12 50 51.2	+41 06 41
199	U8024              	12 51.7	+27 25	 378	B5    	39	13.94	 1.48	          	 0.14	         	05-30-120          	10.0	12 54 07.9	+27 08 45
200	F575-3             	12 53.2	+19 29	 419	field 	  	     	 1.08	          	 0.33	         	                   	10.0	12 55 40.2	+19 12 46
201	U8055              	12 53.5	+04 05	 618	field 	38	     	 0.96	          	 0.10	         	                   	10.0	12 56 02.7	+03 48 46
202	N4826              	12 54.3	+21 57	 410	B5    	57	 9.36	 2.00	12542+2157	 0.27	    -8.68	04-31-001          	 2.0	12 56 45.3	+21 40 47
203	U8091              	12 56.2	+14 29	 214	field 	35	14.68	 1.03	          	 0.02	         	02-33-041          	10.0	12 58 41.5	+14 12 49
204	N4945              	13 02.5	-49 12	 561	B6    	84	 9.30	 2.30	13025-4911	 0.72	    -7.43	                   	 6.0	13 05 25.2	-49 28 04
205	I4182              	13 03.5	+37 52	 321	B5    	27	     	 1.78	13033+3752	 0.04	   -10.40	                   	 9.0	13 05 49.4	+37 35 58
206	U8201              	13 04.7	+67 58	  35	B2    	48	12.80	 1.54	          	 0.26	         	11-16-010          	10.0	13 06 29.5	+67 41 59
207	U8215              	13 05.8	+47 05	 218	field 	35	     	 1.00	          	 0.14	         	                   	10.0	13 08 01.2	+46 49 00
208	N5023              	13 10.0	+44 18	 409	B5    	90	12.85	 1.78	13095+4418	 0.89	   -10.61	                   	 5.5	13 12 13.9	+44 02 06
209	E269-70            	13 10.6	-43 07	  -8	LG    	  	     	 0.94	          	 0.38	         	                   	-2.0	13 13 29.2	-43 22 53
210	U8308              	13 11.2	+46 35	 165	field 	50	     	 1.05	          	 0.26	         	                   	10.0	13 13 24.0	+46 19 07
211	U8320              	13 12.3	+46 11	 196	field 	69	12.70	 1.56	13121+4611	 0.42	   -10.81	                   	10.0	13 14 29.9	+45 55 09
212	UA342              	13 12.9	+42 16	 388	field 	  	     	 1.20	          	 0.44	         	                   	10.0	13 15 08.6	+42 00 10
213	U8331              	13 13.2	+47 46	 260	field 	69	14.60	 1.43	          	 0.46	         	                   	10.0	13 15 22.4	+47 30 10
214	N5068              	13 16.2	-20 47	 673	B6    	22	10.70	 1.86	13161-2046	 0.06	    -9.54	-03-34-046         	 6.0	13 18 54.2	-21 02 46
215	N5102              	13 19.1	-36 22	 451	B6    	71	10.35	 1.94	13191-3622	 0.49	   -10.22	                   	-3.0	13 21 56.8	-36 37 41
216	N5128              	13 22.5	-42 45	 534	B6    	44	 7.84	 2.41	13225-4245	 0.11	    -7.88	CEN A,-07-28-001   	-2.0	13 25 26.0	-43 00 36
217	I4247              	13 24.0	-30 06	 274	LG    	  	     	 1.12	          	 0.42	         	                   	    	13 26 47.9	-30 21 34
218	E324-24            	13 24.7	-41 13	 515	B6    	54	     	 1.50	          	 0.13	         	-07-28-000         	10.0	13 27 37.4	-41 28 32
219	N5204              	13 27.7	+58 41	 204	B3    	56	11.73	 1.70	13277+5840	 0.22	    -9.84	                   	 9.0	13 29 34.6	+58 25 32
220	U8508              	13 28.8	+55 10	  63	B3:   	54	     	 1.23	          	 0.22	         	                   	10.0	13 30 45.3	+54 54 34
221	N5206              	13 30.7	-47 54	 577	B6:   	  	     	 1.57	13307-4759	 0.06	   -10.52	                   	-2.5	13 33 44.9	-48 09 22
222	N5229              	13 32.0	+48 10	 364	B3    	84	     	 1.52	          	 0.77	         	                   	 6.7	13 34 04.4	+47 54 39
223	N5238              	13 32.7	+51 52	 234	B3    	37	     	 1.23	          	 0.07	         	09-22-082          	 8.0	13 34 42.1	+51 36 41
224	E444-78            	13 33.7	-28 59	 570	B6:   	68	     	 1.09	          	 0.39	         	                   	10.0	13 36 30.8	-29 14 17
225	N5236              	13 34.2	-29 37	 517	B6    	33	 8.20	 2.11	13342-2933	 0.05	    -7.78	-05-32-050         	 5.0	13 37 01.2	-29 52 16
226	E444-84            	13 34.5	-27 48	 587	B6    	41	     	 1.11	          	 0.13	         	-05-32-000         	10.0	13 37 18.2	-28 03 16
227	N5237              	13 34.7	-42 36	 328	B6:   	  	13.23	 1.29	          	 0.09	         	                   	    	13 37 40.9	-42 51 15
228	U8638              	13 37.0	+25 02	 274	field 	  	     	 1.08	          	 0.17	         	                   	10.0	13 39 20.9	+24 46 48
229	N5253              	13 37.1	-31 23	 401	B6    	67	10.87	 1.70	13370-3123	 0.41	    -8.86	HARO10,-05-32-060  	10.0	13 39 56.8	-31 38 11
230	I4316              	13 37.5	-28 38	 741	field 	  	     	 1.23	          	 0.19	         	                   	10.0	13 40 19.1	-28 53 10
231	U8651              	13 37.7	+40 59	 203	field 	58	     	 1.37	          	 0.26	         	                   	10.0	13 39 51.6	+40 43 50
232	U8659              	13 38.7	+55 41	    	B3:   	  	     	 1.00	          	 0.04	         	                   	10.0	13 40 34.7	+55 25 51
233	N5264              	13 38.8	-29 40	 479	B6    	34	12.60	 1.40	          	 0.22	         	D242,-05-32-066    	10.0	13 41 38.0	-29 55 08
234	E325-11            	13 42.0	-41 37	 542	B6    	66	     	 1.43	13419-4135	 0.30	   -10.24	                   	10.0	13 44 59.8	-41 52 02
235	E445-36            	13 45.4	-32 00	 470	B6    	  	     	 0.92	13453-3159	 0.30	   -10.02	                   	    	13 48 16.6	-32 14 55
236	E383-87            	13 46.4	-35 49	 330	B6    	33	     	 1.65	13463-3548	 0.09	   -10.07	                   	 8.3	13 49 19.7	-36 03 53
237	U8760              	13 48.7	+38 16	 193	field 	72	14.36	 1.34	          	 0.50	         	                   	10.0	13 50 51.6	+38 01 11
238	U8833              	13 52.6	+36 05	 230	field 	36	     	 0.96	          	 0.06	         	                   	10.0	13 54 46.7	+35 50 19
239	U8837              	13 52.9	+54 09	 141	B3    	67	13.81	 1.63	13524+5408	 0.51	   -11.04	A13530,09-23-017   	 9.5	13 54 43.9	+53 54 19
240	U8914              	13 57.3	+52 36	    	B3:   	  	     	 1.00	          	 0.00	         	                   	10.0	13 59 08.9	+52 21 28
241	N5408              	14 00.3	-41 09	 509	B6    	54	12.20	 1.21	14002-4108	 0.31	    -9.90	-07-29-006         	 9.7	14 03 21.5	-41 23 24
242	A1400+54           	14 00.7	+54 09	 165	B3    	  	     	     	          	     	         	                   	    	14 02 29.2	+53 54 36
243	N5457              	14 01.4	+54 35	 242	B3    	24	 8.31	 2.46	several   	 0.03	    -8.22	VV344,09-23-028    	 6.0	14 03 10.2	+54 20 37
244	N5474              	14 03.3	+53 54	 277	B3    	17	11.28	 1.68	14032-5353	 0.05	   -10.01	09-23-032          	 6.0	14 05 04.7	+53 39 42
245	N5477              	14 03.8	+54 42	 312	B3    	45	14.36	 1.22	14034+5441	 0.10	   -10.80	09-23-034          	 9.0	14 05 33.1	+54 27 43
246	E097-13            	14 09.3	-65 06	 437	field 	60	12.10	 1.84	14092-6506	 0.36	    -7.92	                   	 3.0	14 13 10.2	-65 20 03
247	U9128              	14 13.6	+23 17	 155	field 	29	14.38	 1.22	          	 0.11	         	                   	10.0	14 15 53.9	+23 03 06
248	N5585              	14 18.2	+56 58	 306	B3    	50	11.20	 1.76	14182+5657	 0.19	   -10.13	                   	 7.0	14 19 47.5	+56 44 17
249	U9240              	14 22.8	+44 45	 154	field 	20	13.25	 1.26	14225+4444	 0.00	   -10.93	08-26-030          	10.0	14 24 43.0	+44 31 29
250	A1424-46           	14 24.8	-46 05	 393	B6    	51	     	 1.38	          	 0.44	         	                   	10.0	14 28 03.3	-46 18 25
251	U9405              	14 33.9	+57 28	 222	B3    	52	     	 1.23	          	 0.42	         	                   	10.0	14 35 22.6	+57 14 58
252	A1440-44           	14 40.2	-44 30	 597	B6    	  	     	 1.18	          	 0.40	         	                   	 8.0	14 43 28.5	-44 42 43
253	E223-09            	14 57.7	-48 06	 587	B6    	44	     	 1.41	          	 0.03	         	                   	10.0	15 01 08.5	-48 17 51
254	U9749              	15 08.6	+67 24	-261	LG    	55	     	 2.48	          	 0.20	         	11-18-030          	-5.0	15 09 12.5	+67 12 40
255	E274-01            	15 10.8	-46 38	 520	B6    	90	11.70	 2.04	15108-4637	 0.84	   -10.10	                   	 6.7	15 14 14.6	-46 49 09
256	E137-18            	16 16.6	-60 22	 606	field 	74	     	 1.51	          	 0.42	         	                   	10.0	16 20 56.2	-60 29 09
257	U10822             	17 19.4	+57 58	-277	LG    	55	     	 2.55	          	 0.16	         	10-25-008          	-5.0	17 20 12.7	+57 55 05
258	I4662              	17 42.2	-64 37	 308	field 	51	11.74	 1.44	17422-6437	 0.23	    -9.38	                   	10.0	17 47 06.4	-64 38 07
259	N6503              	17 50.0	+70 09	  42	field 	72	10.91	 1.85	17499+7009	 0.47	    -9.26	                   	 6.0	17 49 29.0	+70 08 15
260	E594-04            	19 27.1	-17 47	 -79	LG    	46	     	 1.46	          	 0.13	         	SAGDIG,-03-49-000  	10.0	19 29 59.6	-17 40 42
261	N6822              	19 42.1	-14 55	 -58	LG    	53	 9.31	 2.19	19421-1455	 0.06	    -8.56	-02-50-006         	10.0	19 44 55.7	-14 47 42
262	06-45-001          	20 22.3	+35 41	-114	field 	  	     	 1.02	20222+3541	 0.18	    -7.87	                   	    	20 24 12.8	+35 50 46
263	N6946              	20 33.8	+59 59	  58	field 	30	 9.61	 2.06	several   	 0.07	    -8.06	10-29-006          	 6.0	20 34 51.1	+60 09 25
264	D210               	20 44.1	-13 02	-136	LG    	57	14.00	 1.35	          	 0.29	         	-02-53-003         	10.0	20 46 51.3	-12 50 58
265	I5052              	20 47.5	-69 24	 590	field 	90	     	 1.77	20473-6923	 0.88	    -9.92	                   	 7.0	20 52 14.3	-69 12 43
266	UA421              	21 43.8	-21 28	    	LG    	  	11.68	 1.72	          	 0.75	         	                   	-5.0	21 46 36.3	-21 14 06
267	I5152              	21 59.4	-51 32	 125	LG    	54	     	 1.72	21594-5132	 0.21	    -9.79	                   	10.0	22 02 39.3	-51 17 30
269	A2259+12           	22 59.1	+12 28	-364	LG    	  	     	     	          	     	         	                   	    	23 01 35.9	+12 44 08
270	E347-08            	23 18.1	-42 00	  16	LG    	26	     	 1.22	          	 0.08	         	                   	 9.0	23 20 50.3	-41 43 33
271	E407-18            	23 23.8	-32 40	  62	B7a   	18	     	 1.18	          	 0.09	         	-05-55-012         	10.0	23 26 28.2	-32 23 29
272	U12613             	23 26.0	+14 28	-183	LG    	47	13.21	 1.70	          	 0.27	         	02-59-046          	10.0	23 28 31.3	+14 44 32
273	E471-06            	23 41.2	-32 14	 267	B7b   	86	13.60	 1.55	          	 0.75	         	                   	 8.8	23 43 49.0	-31 57 20
274	E149-03            	23 49.4	-52 51	 577	field 	90	     	 1.38	          	 0.77	         	                   	10.0	23 52 01.3	-52 34 18
275	N7793              	23 55.3	-32 52	 227	B7b   	45	 9.63	 1.97	23552-3252	 0.17	    -8.87	-06-01-009         	 7.0	23 57 52.4	-32 35 18
276	D221               	23 59.4	-15 45	-123	LG    	65	11.03	 2.06	several   	 0.46	   -10.63	-03-01-015         	10.0	00 01 57.7	-15 28 18

